"City|State short|State full|County|City alias"
"Frampton|QC|Quebec||"
"Magnetawan|ON|Ontario||"
"New Carlisle|QC|Quebec||"
"Laird No. 404|SK|Saskatchewan||"
"Petitcodiac|NB|New Brunswick||"
"Popkum|BC|British Columbia||"
"Norton|NB|New Brunswick||"
"Canwood No. 494|SK|Saskatchewan||"
"Wentworth-Nord|QC|Quebec||"
"Bas Caraquet|NB|New Brunswick||"
"Sainte-Ursule|QC|Quebec||"
"Dawson|YT|Yukon||"
"Nantes|QC|Quebec||"
"Lac-aux-Sables|QC|Quebec||"
"Stewiacke|NS|Nova Scotia||"
"Taylor|BC|British Columbia||"
"Rosser|MB|Manitoba||"
"Estevan No. 5|SK|Saskatchewan||"
"Falmouth|NS|Nova Scotia||"
"Vaudreuil-sur-le-Lac|QC|Quebec||"
"Grahamdale|MB|Manitoba||"
"Cardwell|NB|New Brunswick||"
"Two Hills|AB|Alberta||"
"Spiritwood No. 496|SK|Saskatchewan||"
"Legal|AB|Alberta||"
"Amulet|QC|Quebec||"
"Herouxville|QC|Quebec||"
"Pointe-des-Cascades|QC|Quebec||"
"Weldford|NB|New Brunswick||"
"Reynolds|MB|Manitoba||"
"St. Laurent|MB|Manitoba||"
"Lions Bay|BC|British Columbia||"
"L'Isle-aux-Allumettes|QC|Quebec||"
"Emo|ON|Ontario||"
"Sainte-Brigide-d'Iberville|QC|Quebec||"
"Les Eboulements|QC|Quebec||"
"Dunsmuir|BC|British Columbia||"
"Pointe-aux-Outardes|QC|Quebec||"
"Smooth Rock Falls|ON|Ontario||"
"Oxbow|SK|Saskatchewan||"
"Telkwa|BC|British Columbia||"
"Gjoa Haven|NU|Nunavut||"
"Sainte-Barbe|QC|Quebec||"
"Mayerthorpe|AB|Alberta||"
"Saint-Louis-du-Ha! Ha!|QC|Quebec||"
"Powerview-Pine Falls|MB|Manitoba||"
"Baie Verte|NL|Newfoundland and Labrador||"
"Saint-Edouard|QC|Quebec||"
"Charlo|NB|New Brunswick||"
"Hillsborough|NB|New Brunswick||"
"Bruederheim|AB|Alberta||"
"Burgeo|NL|Newfoundland and Labrador||"
"Wadena|SK|Saskatchewan||"
"Richmond|NB|New Brunswick||"
"Swan Hills|AB|Alberta||"
"Wilkie|SK|Saskatchewan||"
"Saint-Leonard|NB|New Brunswick||"
"Riviere-Bleue|QC|Quebec||"
"Noyan|QC|Quebec||"
"Ile-a-la-Crosse|SK|Saskatchewan||"
"Landmark|MB|Manitoba||"
"Saint-Hugues|QC|Quebec||"
"Chisholm|ON|Ontario||"
"Sainte-Anne-du-Sault|QC|Quebec||"
"La Conception|QC|Quebec||"
"Saint-Valere|QC|Quebec||"
"Sorrento|BC|British Columbia||"
"Lameque|NB|New Brunswick||"
"Thessalon|ON|Ontario||"
"L'Isle-aux-Coudres|QC|Quebec||"
"Nobleford|AB|Alberta||"
"Larouche|QC|Quebec||"
"South Qu'Appelle No. 157|SK|Saskatchewan||"
"Elton|MB|Manitoba||"
"Lorrainville|QC|Quebec||"
"Conestogo|ON|Ontario||"
"Upham|NB|New Brunswick||"
"St.-Charles|ON|Ontario||"
"Sainte-Lucie-des-Laurentides|QC|Quebec||"
"Saint-Alexis|QC|Quebec||"
"Gillam|MB|Manitoba||"
"Roxton Falls|QC|Quebec||"
"Montcalm|MB|Manitoba||"
"Clarendon|QC|Quebec||"
"Mervin No. 499|SK|Saskatchewan||"
"Saint-Ludger|QC|Quebec||"
"Coldwell|MB|Manitoba||"
"Saint-Arsene|QC|Quebec||"
"Racine|QC|Quebec||"
"Saint-Majorique-de-Grantham|QC|Quebec||"
"Saint-Zenon|QC|Quebec||"
"Saint-Armand|QC|Quebec||"
"Saint-Edouard-de-Lotbiniere|QC|Quebec||"
"Alonsa|MB|Manitoba||"
"Listuguj|QC|Quebec||"
"Bowden|AB|Alberta||"
"St. Joseph|ON|Ontario||"
"Osler|SK|Saskatchewan||"
"Saint-Hubert-de-Riviere-du-Loup|QC|Quebec||"
"Saint-Jude|QC|Quebec||"
"Dildo|NL|Newfoundland and Labrador||"
"La Minerve|QC|Quebec||"
"Lanigan|SK|Saskatchewan||"
"Lajord No. 128|SK|Saskatchewan||"
"Moonbeam|ON|Ontario||"
"Notre-Dame-des-Pins|QC|Quebec||"
"Saint-Alban|QC|Quebec||"
"Saint-Pierre-les-Becquets|QC|Quebec||"
"Arborg|MB|Manitoba||"
"Vauxhall|AB|Alberta||"
"Bayfield|ON|Ontario||"
"Beaver River|SK|Saskatchewan||"
"Irricana|AB|Alberta||"
"Labrecque|QC|Quebec||"
"New Bandon|NB|New Brunswick||"
"Wemotaci|QC|Quebec||"
"Sainte-Henedine|QC|Quebec||"
"L'Anse-Saint-Jean|QC|Quebec||"
"Bassano|AB|Alberta||"
"Parrsboro|NS|Nova Scotia||"
"Kaleden|BC|British Columbia||"
"St. George's|NL|Newfoundland and Labrador||"
"Fort Simpson|NT|Northwest Territories||"
"Akwesasne|QC|Quebec||"
"L'Avenir|QC|Quebec||"
"Ignace|ON|Ontario||"
"Claremont|ON|Ontario||"
"Teulon|MB|Manitoba||"
"Peel|NB|New Brunswick||"
"Musquash|NB|New Brunswick||"
"Notre-Dame-du-Portage|QC|Quebec||"
"St. Lawrence|NL|Newfoundland and Labrador||"
"Oxford|NS|Nova Scotia||"
"Minto-Odanah|MB|Manitoba||"
"St. Alban's|NL|Newfoundland and Labrador||"
"Saint James|NB|New Brunswick||"
"Saint-Norbert-d'Arthabaska|QC|Quebec||"
"Manning|AB|Alberta||"
"Glenella-Lansdowne|MB|Manitoba||"
"Saint-Hilarion|QC|Quebec||"
"Saint-Simeon|QC|Quebec||"
"Saint-Barnabe|QC|Quebec||"
"Sainte-Felicite|QC|Quebec||"
"Two Borders|MB|Manitoba||"
"Queensbury|NB|New Brunswick||"
"Bury|QC|Quebec||"
"Lac-Bouchette|QC|Quebec||"
"Saint-Lazare-de-Bellechasse|QC|Quebec||"
"Saint-Michel-du-Squatec|QC|Quebec||"
"Saint-Joachim-de-Shefford|QC|Quebec||"
"St-Pierre-Jolys|MB|Manitoba||"
"Grand-Remous|QC|Quebec||"
"Saint-Gabriel-de-Rimouski|QC|Quebec||"
"Armstrong|ON|Ontario||"
"Rogersville|NB|New Brunswick||"
"Langenburg|SK|Saskatchewan||"
"Sainte-Marie-Salome|QC|Quebec||"
"Moose Jaw No. 161|SK|Saskatchewan||"
"Saint-Cyprien|QC|Quebec||"
"Maidstone|SK|Saskatchewan||"
"Tres-Saint-Sacrement|QC|Quebec||"
"Battle River No. 438|SK|Saskatchewan||"
"Miltonvale Park|PE|Prince Edward Island||"
"McAdam|NB|New Brunswick||"
"Saints-Anges|QC|Quebec||"
"Saint-Urbain-Premier|QC|Quebec||"
"Centreville-Wareham-Trinity|NL|Newfoundland and Labrador||"
"Alberton|PE|Prince Edward Island||"
"Winnipeg Beach|MB|Manitoba||"
"Sainte-Agathe-de-Lotbiniere|QC|Quebec||"
"Salmo|BC|British Columbia||"
"Kipling|SK|Saskatchewan||"
"Sagamok|ON|Ontario||"
"Trecesson|QC|Quebec||"
"Tara|ON|Ontario||"
"Grande-Vallee|QC|Quebec||"
"Bertrand|NB|New Brunswick||"
"Newcastle|NB|New Brunswick||"
"Mont-Carmel|QC|Quebec||"
"Saint Martins|NB|New Brunswick||"
"Saint-Eugene|QC|Quebec||"
"Notre-Dame-des-Neiges|QC|Quebec||"
"Saint-Andre|NB|New Brunswick||"
"Centreville|NS|Nova Scotia||"
"Roland|MB|Manitoba||"
"Saint-Leon-de-Standon|QC|Quebec||"
"Saint-Modeste|QC|Quebec||"
"Carnduff|SK|Saskatchewan||"
"Carling|ON|Ontario||"
"Eckville|AB|Alberta||"
"Nain|NL|Newfoundland and Labrador||"
"Hillsburgh|ON|Ontario||"
"Foam Lake|SK|Saskatchewan||"
"Sainte-Sabine|QC|Quebec||"
"Saint-Maxime-du-Mont-Louis|QC|Quebec||"
"Blanc-Sablon|QC|Quebec||"
"Cobalt|ON|Ontario||"
"Gravelbourg|SK|Saskatchewan||"
"South River|ON|Ontario||"
"Hudson Bay No. 394|SK|Saskatchewan||"
"McKellar|ON|Ontario||"
"Frelighsburg|QC|Quebec||"
"Buffalo Narrows|SK|Saskatchewan||"
"Ayer's Cliff|QC|Quebec||"
"Les Mechins|QC|Quebec||"
"Sainte-Marguerite|QC|Quebec||"
"Saint-Claude|QC|Quebec||"
"Air Ronge|SK|Saskatchewan||"
"Chipman|NB|New Brunswick||"
"Girardville|QC|Quebec||"
"Saint-Bruno-de-Guigues|QC|Quebec||"
"Grenfell|SK|Saskatchewan||"
"Dorchester|NB|New Brunswick||"
"South Algonquin|ON|Ontario||"
"Windermere|BC|British Columbia||"
"Saint-Narcisse-de-Beaurivage|QC|Quebec||"
"Saint-Rene-de-Matane|QC|Quebec||"
"Sainte-Jeanne-d'Arc|QC|Quebec||"
"Plaisance|QC|Quebec||"
"Roxton-Sud|QC|Quebec||"
"St. Louis No. 431|SK|Saskatchewan||"
"Youbou|BC|British Columbia||"
"Duchess|AB|Alberta||"
"Saint-Frederic|QC|Quebec||"
"Viking|AB|Alberta||"
"Sioux Narrows-Nestor Falls|ON|Ontario||"
"Whitecourt|AB|Alberta||"
"Repulse Bay|NU|Nunavut||"
"Montreal-Est|QC|Quebec||"
"King|ON|Ontario||"
"Regina Beach|SK|Saskatchewan||"
"Saint-Patrice-de-Beaurivage|QC|Quebec||"
"Ootischenia|BC|British Columbia||"
"Hensall|ON|Ontario||"
"Bentley|AB|Alberta||"
"Durham|NB|New Brunswick||"
"Sainte-Marthe|QC|Quebec||"
"Notre-Dame-du-Nord|QC|Quebec||"
"Pinehouse|SK|Saskatchewan||"
"Saint-Aime-des-Lacs|QC|Quebec||"
"Lac-Drolet|QC|Quebec||"
"Preeceville|SK|Saskatchewan||"
"Maple Creek No. 111|SK|Saskatchewan||"
"Harbour Main-Chapel's Cove-Lakeview|NL|Newfoundland and Labrador||"
"Saint-Wenceslas|QC|Quebec||"
"Weyburn No. 67|SK|Saskatchewan||"
"Birch Hills|SK|Saskatchewan||"
"Wedgeport|NS|Nova Scotia||"
"Kerrobert|SK|Saskatchewan||"
"Havelock|NB|New Brunswick||"
"Eston|SK|Saskatchewan||"
"Sainte-Genevieve-de-Batiscan|QC|Quebec||"
"Saint-Justin|QC|Quebec||"
"Saint-Norbert|QC|Quebec||"
"Schreiber|ON|Ontario||"
"Trochu|AB|Alberta||"
"Botsford|NB|New Brunswick||"
"Riviere-Ouelle|QC|Quebec||"
"Greenwich|NB|New Brunswick||"
"Stukely-Sud|QC|Quebec||"
"Saint-Georges-de-Clarenceville|QC|Quebec||"
"Sainte-Therese-de-Gaspe|QC|Quebec||"
"Beachburg|ON|Ontario||"
"Desbiens|QC|Quebec||"
"Clyde River|NU|Nunavut||"
"La Macaza|QC|Quebec||"
"Souris|PE|Prince Edward Island||"
"Kindersley No. 290|SK|Saskatchewan||"
"Laird|ON|Ontario||"
"Falher|AB|Alberta||"
"Saint-Vallier|QC|Quebec||"
"Coleraine|QC|Quebec||"
"Melita|MB|Manitoba||"
"Noonan|NB|New Brunswick||"
"Sainte-Petronille|QC|Quebec||"
"Delisle|SK|Saskatchewan||"
"Bristol|QC|Quebec||"
"Mahone Bay|NS|Nova Scotia||"
"Waldheim|SK|Saskatchewan||"
"Saint-Sylvestre|QC|Quebec||"
"Taloyoak|NU|Nunavut||"
"Onoway|AB|Alberta||"
"Saint-Stanislas|QC|Quebec||"
"Malpeque|PE|Prince Edward Island||"
"Plantagenet|ON|Ontario||"
"Longue-Rive|QC|Quebec||"
"Argyle|MB|Manitoba||"
"Davidson|SK|Saskatchewan||"
"Plaster Rock|NB|New Brunswick||"
"Wilmot|NB|New Brunswick||"
"Valemount|BC|British Columbia||"
"Saint-Leonard-de-Portneuf|QC|Quebec||"
"Alberta Beach|AB|Alberta||"
"Saint-Narcisse-de-Rimouski|QC|Quebec||"
"Saint-Bonaventure|QC|Quebec||"
"Longlaketon No. 219|SK|Saskatchewan||"
"Papineau-Cameron|ON|Ontario||"
"Assiginack|ON|Ontario||"
"Brebeuf|QC|Quebec||"
"Hudson Hope|BC|British Columbia||"
"Prince|ON|Ontario||"
"Baie-du-Febvre|QC|Quebec||"
"Durham-Sud|QC|Quebec||"
"Melbourne|QC|Quebec||"
"Nipawin No. 487|SK|Saskatchewan||"
"Duck Lake No. 463|SK|Saskatchewan||"
"Oyen|AB|Alberta||"
